,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,wl,wh,fs
0,d0,baby,00705e9f9f8fc5ff,9c45633b9c72933c,83c2b2383a390da3,00605e1f1f0dc5ff,00c00008000,10,16,0.4,3,30
1,d1,baby2,e0d0c3e7a7a7979f,a7605a67d361233b,0a2606ce4f6e6c78,c0c0c3e7a3a3979e,7600400000,150,600,2.33,2.67,30
2,d2,camera,00041e6ca9b9f0b0,df10744b69a09db6,30ecacd959514446,00067eeda9bdf0f0,03c02000000,120,20,45,100,300
3,d3,face,ffbd84d0c7030000,feffb9a4b02030b0,33695d250e4fa59c,ffbdbcd1cf070000,1600018000,100,1000,0.83,1,30
4,d4,face2_motion,247fbf005a7ec000,818372d4787e87f8,4cd9611392c48eb0,e47fff005e7ec000,18200038000,20,80,0.83,1,30
5,d4,face2_pulse,247fbf005a7ec000,818372d4787e87f8,4cd9611392c48eb0,e47fff005e7ec000,18200038000,120,960,0.83,1,30
6,d5,guitar_Low_E,bebbb1f0363278ff,c52b9b16f64b6a05,4c52434644c4d44c,bcaaa0b0327278fe,9000038000,50,10,72,92,600
7,d5,guitar_A,bebbb1f0363278ff,c52b9b16f64b6a05,4c52434644c4d44c,bcaaa0b0327278fe,9000038000,100,10,100,120,600
8,d6,shadow,1f7e1e1e1e000800,989c6961bcbc2d17,b2f874b0f8f49939,df7f3e1f1e0c0c00,1be01000000,5,48,0.5,10,30
9,d7,subway,f3fbd9c8c8c18004,f8cc272e16270f93,26969393baa70d19,f3fbf9c9c8c18084,0ec01000000,60,90,3.6,6.2,30
10,d8,wrist,6061ffffefc70000,a1e76d61e318989e,c3475ccecc9b9a9c,4061ffffefc70000,0e6000c0000,10,80,0.4,3,30
