,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,ham_dist,dif
0,d0,baby,00705e9f9f8fc5ff,9c45633b9c72933c,83c2b2383a390da3,00605e1f1f0dc5ff,00c00008000,10,16,0,0
1,d1,baby2,e0d0c3e7a7a7979f,a7605a67d361233b,0a2606ce4f6e6c78,c0c0c3e7a3a3979e,7600400000,150,600,0,0
2,d2,camera,00041e6ca9b9f0b0,df10744b69a09db6,30ecacd959514446,00067eeda9bdf0f0,03c02000000,120,20,0,0
3,d3,face,ffbd84d0c7030000,feffb9a4b02030b0,33695d250e4fa59c,ffbdbcd1cf070000,1600018000,100,1000,0,0
4,d4,face2_motion,247fbf005a7ec000,818372d4787e87f8,4cd9611392c48eb0,e47fff005e7ec000,18200038000,20,80,0,0
5,d4,face2_pulse,247fbf005a7ec000,818372d4787e87f8,4cd9611392c48eb0,e47fff005e7ec000,18200038000,120,960,0,0
6,d5,guitar_Low_E,bebbb1f0363278ff,c52b9b16f64b6a05,4c52434644c4d44c,bcaaa0b0327278fe,9000038000,50,10,0,0
7,d5,guitar_A,bebbb1f0363278ff,c52b9b16f64b6a05,4c52434644c4d44c,bcaaa0b0327278fe,9000038000,100,10,0,0
8,d6,shadow,1f7e1e1e1e000800,989c6961bcbc2d17,b2f874b0f8f49939,df7f3e1f1e0c0c00,1be01000000,5,48,0,0
9,d7,subway,f3fbd9c8c8c18004,f8cc272e16270f93,26969393baa70d19,f3fbf9c9c8c18084,0ec01000000,60,90,0,0
10,d8,wrist,6061ffffefc70000,a1e76d61e318989e,c3475ccecc9b9a9c,4061ffffefc70000,0e6000c0000,10,80,0,0
11,d9,augment0,10280c9e9fdfcff7,dc0fe38d0e3c1e23,62d9b830381294cc,10280c9c9e9ecff7,00c00008000,10,15,0.328125,-1
12,d10,augment1,007edf9f9f87417f,b847633a8b64b86b,edc4303a393db7db,00769f1f1f07416f,00c00008000,10,16,0.265625,1
13,d11,augment2,30680c9e9fdfcff7,dd0fe30d0f3c1670,62d1b830783296cc,10280c1c9f9fcbf7,00c00008000,10,17,0.328125,1
14,d12,augment3,040e31f8f8f1d7ff,8855b476db6aa926,9c74e3e3e1a7a79c,000830f8f8f1d7ff,00c00008000,10,17,0.421875,1
15,d13,augment4,081c3239797bf7ff,895ab6785b654536,993166f3e3d7d64c,001410397973f7ff,00c00008000,10,15,0.4375,-1
16,d14,augment5,0006faf9f9b183ff,e910346fc837ce78,9ebeb2e323635e32,000e78f8f8b0a3ff,00c00008000,10,15,0.453125,-1
17,d15,augment6,007efaf9f9b1e3cb,ed10366f18376c69,5e92f2e3a3634a16,007efaf8f8b0a28b,00c00000000,10,17,0.484375,1
18,d16,augment7,20704e9f9f8fe7f3,9800633b9e7fb136,43c09030323a0ac6,00304e1e1f8fc7fb,00c00008000,10,16,0.1875,1
19,d17,augment8,0020fcf9f880e0fc,ed12722d8bb431d3,0e408063421604c8,00e0fef9f882e0fc,00c00008000,10,15,0.484375,-1
20,d18,augment9,00007af8f9a0cfff,cd10b26fc835c7b8,d95cd2f2a36216b0,00007af8f8e0cfff,00c00008000,10,17,0.421875,1
21,d19,augment10,20f8fff9794182e4,ed127629c23ce1b6,43c02261c393360c,20f8fff9794080f4,00c00008000,10,15,0.46875,-1
22,d20,augment11,0000df9f9f8643ff,9c47613e9b6194cb,a5c4343b393c93db,0000df9f9f0741ff,00c00008000,10,15,0.34375,-1
23,d21,augment12,08143039797bf7ff,895bb6e85a694966,b16c66f3e3d7d66c,08140039797b6fff,00c00008000,10,15,0.484375,-1
24,d22,augment13,00043fdf1f412f3f,b8452778dce76096,867dfcbbbd974ffc,00053f9f1f412f3f,01c00008000,10,15,0.34375,-1
25,d23,augment14,001c1239797bf7ff,895ab2684b654f76,193966f3e3d7d66c,00181039797be7ff,01c00008000,10,15,0.453125,-1
26,d24,augment15,0c123079f9f1f3f7,885fb65adb495035,3864e2f3e3b7b786,0c10307879f1f3f7,00c00008000,10,17,0.421875,1
27,d25,augment16,a0f0fefbf882c2fc,ed0a726dcb3c05d2,66c0a03262560689,00f0fef8fa82c0fc,00c00008000,9,15,0.53125,-1
28,d26,augment17,704c9f9f9f8f8fef,9f40614b0e2fe43f,e1983838781a1b0a,30480e1f1f8f8be7,00c00008000,10,15,0.359375,-1
29,d27,augment18,00f0fffd794180f6,eb127429c23de1b6,47c00261c193320c,00f0fff9794180f6,00c00008000,11,17,0.515625,1
30,d28,augment19,00e09f9f9f8dc1ff,be45613e9f60922d,0682b238392da5b3,00e01f9f1f05c1ff,00c00008000,10,16,0.171875,-1
31,d29,augment20,0030481e9ecfe7ff,d80fc7351c30f1e3,e46399b038148ce4,0030081e9eceefff,01c00008000,10,17,0.34375,1
32,d30,augment21,006ef9f9f96183ff,cb12346bde34c91e,589c932163c31226,004cf9f9f96002ff,00c00008000,10,17,0.421875,1
33,d31,augment22,30489c1f9f8fcbef,9d4ee1098f0da4f5,e39838787812129a,30480c1f9f8fcbe3,00c00008000,10,15,0.359375,-1
34,d32,augment23,00605e9f9f8ff3ff,9c41e33b9e76912c,87c2b2303a3b0fe2,00604a1e1f8fe3ff,00c00008000,10,16,0.078125,-1
35,d33,augment24,20fcfffd796180e6,e9927469d22de0ae,c1802361c393320c,20f8fff9796080e4,00c00008000,9,15,0.578125,-1
36,d34,augment25,18163179f9fbfbf7,891eb6d8da496965,b16ce3f3e3d3d64e,18143039797b6be7,01c00008000,10,17,0.484375,1
37,d35,augment26,0060dc9f1f8fe5ff,9f4060339f36b96c,8f81b0787b190f82,00601c9f1f8de1ff,01c00008000,10,16,0.21875,-1
38,d36,augment27,00304c9f9fcfefff,d800633b9c74f973,c7c19830301a0ac6,0030481e1f8febff,01c00008000,10,16,0.1875,-1
39,d37,augment28,0c1231f8f8f8d3e7,c85fb55cd2587125,38e6e3e1e1b3b78e,0c1230f8f8f8d3e7,00c00008000,10,15,0.46875,-1
40,d38,augment29,00704c9f9f8fe7fb,9d00633b8e33b937,c7c0b0383a1a0bc6,00300c1f1f8fe7fb,00c00008000,10,16,0.203125,1
41,d39,augment30,007edf9f9f87416f,bc47613e8b64386b,edc4303a393da7db,007e9f1f1f07016f,00c00008000,10,16,0.234375,1
42,d40,augment31,20fcfffd79e181f6,cb127569c63de207,c1804361c183330c,00f0fdfc79e100f6,00c00008000,10,17,0.484375,1
43,d41,augment32,38481c9e9f8fcfeb,dd4ae38f8e1c0574,7399b03038121696,30480c1e9e8fcfeb,00c00008000,10,17,0.359375,1
44,d42,augment33,00fb9f9f1f8e86fb,9e41601fcf761a6c,06023079793d2c33,00f09f9f1f0e82f9,00c00008000,10,16,0.203125,1
45,d43,augment34,000c1278f9f3e7ff,8d5db660c925aca7,ca38e6f2e3a78ed8,000c107879f3d7ff,01c00008000,10,17,0.484375,1
46,d44,augment35,20f0fffdf90180e4,e9167429c22da9f6,478022e1c193160c,20f0fffdf90180e4,00c00008000,11,17,0.5,1
47,d45,augment36,00067af8f9f1c7ff,cd15b26ec925c479,9ebcf2f2a3220eb8,00067878f8f0c7ff,00c00008000,10,17,0.4375,1
48,d46,augment37,000c127979f3f7ff,8d5a927a5b654536,993966f3e3d7c65c,000c10787973f7ff,01c00008000,10,15,0.421875,-1
49,d47,augment38,00007af8f8a0cfff,cd13b26fc934c788,d95cd2b2a24216a0,00007af8f8e0cfff,01c00008000,10,17,0.4375,1
50,d48,augment39,20708c9f9f8feff3,9d00612b8e3fb973,c7d1b838781a0a86,00100c1f9f8feff3,00c00008000,10,16,0.265625,1
51,d49,augment40,00265f1f1f05417f,b846673a8d65b869,6fccb4b2b9bd97db,00365f1f1f07417f,00c00000000,10,16,0.28125,-1
52,d50,augment41,00305e1e1fcfe7ff,9803673fbc739930,42c090b0b2ba8ac6,00304e1e1f4fc7fb,00c00008000,10,16,0.203125,-1
53,d51,augment42,00067af9f9f1cfff,cd14b66ec931c4d9,02bcf2f3a3221eb0,00025af8f8b0cfff,01c00008000,10,17,0.453125,1
54,d52,augment43,0707cbe7e5e9f979,a3360f3216947bcb,ed9f9b8c89cbdbe3,0707c3c7c5e17939,6600600000,143,572,0.46875,-1
55,d53,augment44,e0e2c3e7a79797de,f463596743c16e98,4a24260e2f242430,e0c0c3e7a383979e,6600640000,145,581,0.3125,-1
56,d54,augment45,82c707c3e3b39bcf,bd33184f511e46ba,3e9e4f568b67331c,024707c3e3b19bcf,07c00200000,156,624,0.40625,1
57,d55,augment46,00e1e3e1c7cbf327,e24a4f1932cc3bb6,09c38f858c3bc74c,00e1e3e1c7c9f327,6600400000,143,573,0.453125,-1
